00015688	00106	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00015823	00107	tx	[0x3F]
00015886	00108	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00016024	00109	tx	[0x3F]
00016084	00110	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00016223	00111	tx	[0x3F]
00016283	00112	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00016423	00113	tx	[0x3F]
00016483	00114	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00016623	00115	tx	[0x3F]
00016682	00116	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00016823	00117	tx	[0x3F]
00016884	00118	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00017023	00119	tx	[0x3F]
00017083	00120	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00017223	00121	tx	[0x3F]
00017286	00122	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00017423	00123	tx	[0x3F]
00017485	00124	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00017632	00125	tx	[0x3F]
00017695	00126	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00017824	00127	tx	[0x3F]
00017890	00128	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00018028	00129	tx	[0x3F]
00018110	00130	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00018224	00131	tx	[0x3F]
00018313	00132	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00018424	00133	tx	[0x3F]
00018487	00134	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00018623	00135	tx	[0x3F]
00018682	00136	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00018823	00137	tx	[0x3F]
00018885	00138	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
